ID,ACCOUNT,DESTINATION,STARTDATE,ENDDATE,STATUS,COSTPERMINUTE
2384b0d7-53b3-4288-be78-8fcf8d4508f1,+380983270311,+380983270312,1594120202002,1594120222002,success,0.1
2384b0d7-53b3-4288-be78-8fcf8d4508f2,+380983270312,+380983270313,1594130902211,1594130922211,success,0.2
2384b0d7-53b3-4288-be78-8fcf8d4508f3,+380983270311,+380983270313,1594140902200,1594140952200,success,0.3
2384b0d7-53b3-4288-be78-8fcf8d4508f4,+380983270312,+380983270313,1594150902200,1594150942200,success,0.4
2384b0d7-53b3-4288-be78-8fcf8d4508f5,+380983270313,+380983270314,1594160902200,1594160932200,success,0.5
2384b0d7-53b3-4288-be78-8fcf8d4508f6,+380983270313,+380983270314,1594170902200,1594170932200,success,0.6
2384b0d7-53b3-4288-be78-8fcf8d4508f7,+380983270311,+380983270315,1594180702200,1594180902200,success,0.2
2384b0d7-53b3-4288-be78-8fcf8d4508f8,+380983270314,+380983270315,1594190702200,1594190902200,success,0.9
2384b0d7-53b3-4288-be78-8fcf8d4508f9,+380983270315,+380983270311,1594250882200,1594250992200,success,0.02
2384b0d7-53b3-4288-be78-8fcf8d4508a9,+380983270311,+380983270312,1594350882200,1594350982200,failed,1.9
2384b0d7-53b3-4288-be78-8fcf8d4508a1,+380983270316,+380983270313,1594450952200,1594450972200,success,1.9
2384b0d7-53b3-4288-be78-8fcf8d4508a2,+380983270311,+380983270312,1594550552200,1594550962200,success,0.9
2384b0d7-53b3-4288-be78-8fcf8d4508a3,+380983270317,+380983270318,1594650002200,1594650952200,success,0.9
2384b0d7-53b3-4288-be78-8fcf8d4508a4,+380983270311,+380983270318,1594750912200,1594750942200,success,2.9
2384b0d7-53b3-4288-be78-8fcf8d4508a5,+380983270318,+380983270311,1594850932200,1594850932200,success,3.9
2384b0d7-53b3-4288-be78-8fcf8d4508a6,+380983270318,+380983270313,1594930922002,1594950922002,success,1
